,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.367391667070013,22.0
1,SNX-USD,ICP-USD,0.5301627856085285,22.0
2,SNX-USD,SUSHI-USD,2.427363846364745,10.0
3,SNX-USD,AAVE-USD,0.036355388755978185,22.0
4,XTZ-USD,ICP-USD,0.22364372744038774,12.0
5,XTZ-USD,ATOM-USD,0.09732178376656003,18.0
6,XTZ-USD,TRX-USD,17.737490286716522,15.0
7,XTZ-USD,COMP-USD,0.02637948096271838,11.0
8,XTZ-USD,AAVE-USD,0.015341020743723998,13.0
9,XTZ-USD,MATIC-USD,1.018784201035316,15.0
10,ICP-USD,TRX-USD,79.28124732539254,20.0
11,ICP-USD,MATIC-USD,4.5551639014760035,5.0
12,ETC-USD,AVAX-USD,1.1928071596863632,7.0
13,ZEC-USD,UMA-USD,17.344317707936337,7.0
14,LINK-USD,EOS-USD,6.294658613538028,8.0
15,MKR-USD,ATOM-USD,59.899432065856246,24.0
16,MKR-USD,FIL-USD,121.30668601868499,20.0
17,BCH-USD,AAVE-USD,1.6959440398881465,9.0
18,CELO-USD,YFI-USD,7.259458644337195e-05,17.0
19,CELO-USD,1INCH-USD,1.2131352547246816,13.0
20,ENJ-USD,COMP-USD,0.009093922373313466,4.0
21,ENJ-USD,NEAR-USD,0.19894181786986992,4.0
22,RUNE-USD,ZRX-USD,6.1001151516021945,7.0
23,FIL-USD,TRX-USD,89.97559251600735,20.0
24,ZRX-USD,DOT-USD,0.0372892155859095,10.0
25,ZRX-USD,CRV-USD,0.24119296295651965,9.0
26,ZRX-USD,SOL-USD,0.010895928502224827,15.0
27,ZRX-USD,1INCH-USD,0.44797176526951493,9.0
28,TRX-USD,COMP-USD,0.0014863109306609544,11.0
29,TRX-USD,NEAR-USD,0.03250987215683863,16.0
30,TRX-USD,DOT-USD,0.010550794061634172,13.0
31,TRX-USD,CRV-USD,0.06822986499886345,19.0
32,TRX-USD,AAVE-USD,0.0008642529871037822,20.0
33,TRX-USD,UNI-USD,0.010680565482262497,23.0
34,TRX-USD,MATIC-USD,0.057406308739372164,14.0
35,YFI-USD,ALGO-USD,40101.103847075174,15.0
36,YFI-USD,1INCH-USD,16703.02229511214,22.0
37,COMP-USD,UNI-USD,7.186536470110754,10.0
38,COMP-USD,MATIC-USD,38.621074706604816,7.0
39,EOS-USD,BTC-USD,4.162047618089338e-05,17.0
40,EOS-USD,SOL-USD,0.053322209000949534,16.0
41,ALGO-USD,1INCH-USD,0.41639407196310996,14.0
42,XMR-USD,LTC-USD,1.7926417532017767,20.0
43,UMA-USD,BTC-USD,7.63008114792687e-05,11.0
44,UMA-USD,DOT-USD,0.3344790955784257,11.0
45,UMA-USD,CRV-USD,2.162482555648207,16.0
46,UMA-USD,SOL-USD,0.09771598238715357,14.0
47,UMA-USD,DOGE-USD,27.859174753064313,7.0
48,UMA-USD,LTC-USD,0.023941069070958856,23.0
49,UMA-USD,AAVE-USD,0.02738526356377817,20.0
50,UMA-USD,UNI-USD,0.3384708370872397,20.0
51,UMA-USD,MATIC-USD,1.818786942090719,19.0
52,UMA-USD,1INCH-USD,4.017798277519912,12.0
53,UMA-USD,AVAX-USD,0.12199190410107502,9.0
54,UMA-USD,ETH-USD,0.0011796634620636496,6.0
55,DOT-USD,CRV-USD,6.467113191792248,13.0
56,DOT-USD,UNI-USD,1.0123649542614515,19.0
57,CRV-USD,UNI-USD,0.15651940270933307,8.0
58,DOGE-USD,ETH-USD,4.2331042461322475e-05,9.0
